,Game ID,Team,Away or Home,Score,Rank,Date,Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Rank Diff,Score Diff,3 Pointers Made,3 Pointers Attempted,Free Throws Made,Free Throws Attempted,Field Goals Made,Field Goals Attempted,FG%,FT%,TP%,Off Score,Winner
101,6290084,Monmouth,1,90.0,8,03/09/2024,37,14,23,22,6,3,9,21,-1.0,23.0,8.0,24.0,8.0,9.0,37.0,67.0,0.5522388059701493,0.8888888888888888,0.3333333333333333,67.0,1
102,6290093,Mercer,1,57.0,8,03/09/2024,33,11,22,6,8,8,9,10,7.0,-13.0,4.0,18.0,11.0,16.0,21.0,57.0,0.3684210526315789,0.6875,0.2222222222222222,70.0,0
103,6290093,Samford,1,70.0,1,03/09/2024,40,12,28,13,5,2,12,15,-7.0,13.0,10.0,24.0,6.0,7.0,27.0,60.0,0.45,0.8571428571428571,0.4166666666666667,57.0,1
104,6291015,Le Moyne,1,51.0,4,03/09/2024,33,9,24,10,7,0,16,16,2.0,-10.0,6.0,20.0,11.0,12.0,17.0,49.0,0.3469387755102041,0.9166666666666666,0.3,61.0,0
105,6291015,Merrimack,1,61.0,2,03/09/2024,29,5,24,12,9,5,12,16,-2.0,10.0,7.0,25.0,12.0,13.0,21.0,49.0,0.4285714285714285,0.9230769230769232,0.28,51.0,1
106,6289725,Georgia Southern,1,80.0,9,03/09/2024,36,17,19,12,11,1,4,21,8.0,-5.0,9.0,25.0,11.0,15.0,30.0,82.0,0.3658536585365853,0.7333333333333333,0.36,85.0,0
107,6289725,Appalachian St.,1,85.0,1,03/09/2024,47,11,36,17,3,12,17,13,-8.0,5.0,2.0,10.0,23.0,27.0,30.0,58.0,0.5172413793103449,0.8518518518518519,0.2,80.0,1
108,6289980,Gardner-Webb,1,72.0,3,03/09/2024,45,13,32,14,4,2,17,21,1.0,-11.0,6.0,24.0,14.0,21.0,26.0,65.0,0.4,0.6666666666666666,0.25,83.0,0
109,6289980,UNC Asheville,1,83.0,2,03/09/2024,33,4,29,23,9,6,9,15,-1.0,11.0,9.0,26.0,14.0,22.0,30.0,62.0,0.4838709677419355,0.6363636363636364,0.3461538461538461,72.0,1
110,6290802,Maine,1,58.0,6,03/09/2024,23,9,14,9,10,3,9,12,3.0,-26.0,6.0,22.0,14.0,18.0,19.0,59.0,0.3220338983050847,0.7777777777777778,0.2727272727272727,84.0,0
111,6290802,Bryant,1,84.0,3,03/09/2024,41,9,32,17,6,6,15,16,-3.0,26.0,11.0,17.0,9.0,11.0,32.0,55.0,0.5818181818181818,0.8181818181818182,0.6470588235294118,58.0,1
112,6290085,William & Mary,1,56.0,13,03/09/2024,36,12,24,12,2,1,11,17,8.0,-11.0,10.0,30.0,4.0,7.0,21.0,58.0,0.3620689655172414,0.5714285714285714,0.3333333333333333,67.0,0
113,6290085,Towson,1,67.0,5,03/09/2024,38,11,27,11,7,7,7,13,-8.0,11.0,6.0,18.0,17.0,21.0,22.0,55.0,0.4,0.8095238095238095,0.3333333333333333,56.0,1
