,Game ID,Team,Away or Home,Score,Rank,Date,Field Goals,3 Pointers,Free Throws,Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Rank Diff,Score Diff,Win,Cumulative Avg Points,Cumulative Field Goals Avg,Cumulative 3 Pointers Avg,Cumulative Free Throws Avg
84,6289848,Western Illinois,Away team,57.0,4,8,0.29850746268656714,0.2222222222222222,0.6111111111111112,40,19,21,12,7,5,13,12,3,-25.0,0,59.0,0.33675373134328357,0.19934640522875818,0.5814176245210728
85,6289848,Little Rock,Home team,82.0,1,8,0.53125,0.36363636363636365,0.8333333333333334,40,10,30,20,8,8,7,17,-3,25.0,1,82.0,0.53125,0.36363636363636365,0.8333333333333334
86,6289984,Presbyterian,Away team,60.0,6,8,0.39344262295081966,0.29411764705882354,0.7,37,11,26,12,8,2,13,10,3,-1.0,0,60.0,0.39344262295081966,0.29411764705882354,0.7
87,6289984,Gardner-Webb,Home team,61.0,3,8,0.43137254901960786,0.5,0.6,33,6,27,14,7,7,14,13,-3,1.0,1,61.0,0.43137254901960786,0.5,0.6
88,6290462,South Dakota,Away team,62.0,9,8,0.4074074074074074,0.375,0.6428571428571429,29,5,24,13,1,3,9,14,1,-15.0,0,62.0,0.4074074074074074,0.375,0.6428571428571429
89,6290462,Oral Roberts,Home team,77.0,8,8,0.4576271186440678,0.38461538461538464,0.8666666666666667,36,8,28,12,6,2,6,15,-1,15.0,1,77.0,0.4576271186440678,0.38461538461538464,0.8666666666666667
90,6290185,Pepperdine,Away team,52.0,8,8,0.3541666666666667,0.3125,0.7647058823529411,36,11,25,12,4,6,18,17,3,-5.0,0,77.0,0.4770833333333333,0.3404605263157895,0.7365196078431373
91,6290185,San Diego,Home team,57.0,5,8,0.3090909090909091,0.42105263157894735,0.6521739130434783,40,16,24,11,12,2,14,20,-3,5.0,1,57.0,0.3090909090909091,0.42105263157894735,0.6521739130434783
92,6290194,Illinois-Chicago,Away team,47.0,11,8,0.24074074074074073,0.125,0.72,28,8,20,7,12,3,10,15,8,-27.0,0,65.5,0.3667471819645733,0.2375,0.64125
93,6290194,Bradley,Home team,74.0,3,8,0.5283018867924528,0.5217391304347826,0.42857142857142855,47,9,38,17,7,6,17,19,-8,27.0,1,74.0,0.5283018867924528,0.5217391304347826,0.42857142857142855
94,6289849,Morehead St.,Away team,84.0,3,8,0.42857142857142855,0.45714285714285713,0.5333333333333333,45,15,30,20,5,3,12,14,1,6.0,1,81.0,0.4642857142857143,0.3952380952380952,0.5710144927536231
95,6289849,UT Martin,Home team,78.0,2,8,0.4153846153846154,0.25,0.8571428571428571,38,9,29,6,7,7,10,14,-1,-6.0,0,78.0,0.4153846153846154,0.25,0.8571428571428571
96,6290186,LMU,Away team,70.0,7,8,0.47540983606557374,0.3333333333333333,1.0,29,10,19,14,6,4,6,15,1,-8.0,0,70.0,0.47540983606557374,0.3333333333333333,1.0
97,6290186,Portland,Home team,78.0,6,8,0.4807692307692308,0.4827586206896552,0.7777777777777778,33,11,22,14,4,1,9,6,-1,8.0,1,78.0,0.4807692307692308,0.4827586206896552,0.7777777777777778
98,6289979,Longwood,Away team,80.0,5,9,0.4406779661016949,0.5333333333333333,0.7142857142857143,40,13,27,16,4,4,14,22,4,1.0,1,74.5,0.41861484511981295,0.4508771929824561,0.8015873015873016
99,6289979,High Point,Home team,79.0,1,9,0.39344262295081966,0.3333333333333333,0.7407407407407407,35,14,21,10,5,2,12,21,-4,-1.0,0,79.0,0.39344262295081966,0.3333333333333333,0.7407407407407407
100,6290084,Campbell,Away team,67.0,9,9,0.4418604651162791,0.38095238095238093,0.75,21,5,16,10,7,2,13,13,1,-23.0,0,67.0,0.4418604651162791,0.38095238095238093,0.75
101,6290084,Monmouth,Home team,90.0,8,9,0.5522388059701493,0.3333333333333333,0.8888888888888888,37,14,23,22,6,3,9,21,-1,23.0,1,90.0,0.5522388059701493,0.3333333333333333,0.8888888888888888
102,6290093,Mercer,Away team,57.0,8,9,0.3684210526315789,0.2222222222222222,0.6875,33,11,22,6,8,8,9,10,7,-13.0,0,70.5,0.46722939424031773,0.37777777777777777,0.6514423076923077
103,6290093,Samford,Home team,70.0,1,9,0.45,0.4166666666666667,0.8571428571428571,40,12,28,13,5,2,12,15,-7,13.0,1,70.0,0.45,0.4166666666666667,0.8571428571428571
